,Posted Date,Effective Date,Transaction Description,Transaction Code Description,Check Number,Debit Amount,Credit Amount
252,28 Feb 2020,29 Feb 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
253,27 Feb 2020,27 Feb 2020,C/A ATM/TB BILL PAYMENT DT,a8144aaa4590e39de1c3e1f14eaaae1c,8111132,2.93,0.0
254,27 Feb 2020,27 Feb 2020,CUSTOMER DEPOSIT,dc8c04ed312a6b6151ee02c18ed690f2,1111111,0.0,1000.0
255,27 Feb 2020,27 Feb 2020,CUSTOMER DEPOSIT,dc8c04ed312a6b6151ee02c18ed690f2,1111111,0.0,1454.0
256,27 Feb 2020,27 Feb 2020,CUSTOMER DEPOSIT,c34710d4e3c1da0c7dd53d26a22b0595,1111111,0.0,2290.0
257,26 Feb 2020,26 Feb 2020,C/A ATM/TB BILL PAYMENT DT,8417954a4e53a2ee5c81732c1612aacf,889739,685.11,0.0
258,26 Feb 2020,26 Feb 2020,C/A ATM/TB BILL PAYMENT DT,a787d5f1e56d87b39c45241e29d1bdc7,889630,2098.13,0.0
259,25 Feb 2020,25 Feb 2020,DEBIT NOTE,d9c344315df6546f99de4a7ced10434e,900001,49.73,0.0
260,24 Feb 2020,24 Feb 2020,C/A ATM/TB TRANSFER CR,7647055c3ed987046437d26dc298da6c,755137,0.0,195.0
261,24 Feb 2020,24 Feb 2020,C/A ATM/TB BILL PAYMENT DT,50ed9f8cdc65505dc3ea7c1e46cd1128,710641,1600.0,0.0
262,20 Feb 2020,20 Feb 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,838215,0.0,215.0
263,18 Feb 2020,18 Feb 2020,C/A ATM/TB BILL PAYMENT DT,fc24dd262308144c5b67d3fe2c42a437,346032,30.0,0.0
264,10 Feb 2020,10 Feb 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,563826,1500.0,0.0
265,7 Feb 2020,7 Feb 2020,C/A ATM/TB TRANSFER CR,3ef79287c2337b2b706cb5d3d2747bbe,454428,0.0,1130.0
266,5 Feb 2020,5 Feb 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,148043,1000.0,0.0
267,3 Feb 2020,3 Feb 2020,C/A ATM/TB TRANSFER CR,08e6bb33f95f852fcf629d25b6b3a26c,932199,0.0,1600.0
268,31 Jan 2020,31 Jan 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
269,30 Jan 2020,30 Jan 2020,C/A ATM/TB BILL PAYMENT DT,02d60e2f7c1b56cc25da1db7365c35c3,8646903,5.87,0.0
270,30 Jan 2020,30 Jan 2020,CUSTOMER DEPOSIT,2034270547f3621bf81f8ca8e32d1d45,1111111,0.0,1454.0
271,28 Jan 2020,28 Jan 2020,C/A ATM/TB BILL PAYMENT DT,eb16a5d38fe56681f0c13123d54eafa6,412474,400.0,0.0
272,27 Jan 2020,27 Jan 2020,C/A ATM/TB BILL PAYMENT DT,d241b9bddb354ac5ccf92ef64dfa8ba3,286039,300.0,0.0
273,27 Jan 2020,27 Jan 2020,CREDIT MEMO,bfb1125acfb404b64905d7fddd42d5df,30917,0.0,1600.0
274,27 Jan 2020,27 Jan 2020,C/A ATM/TB TRANSFER CR,eb66f6031e87e7dbef644e1f7eba5f1a,179880,0.0,300.0
275,27 Jan 2020,27 Jan 2020,C/A ATM/TB BILL PAYMENT DT,2a1fc275b20a28e8205d7b10ad021bf3,167408,2098.13,0.0
276,27 Jan 2020,27 Jan 2020,C/A ATM/TB BILL PAYMENT DT,9ca624d315fe5a9dc5d7daf3f36a134d,167394,2098.13,0.0
277,27 Jan 2020,27 Jan 2020,C/A ATM/TB BILL PAYMENT DT,8a7576e39d3e297e67e482024b7c4b7f,140145,30.0,0.0
278,24 Jan 2020,24 Jan 2020,C/A ATM/TB TRANSFER CR,55676e3f4396b5331a0974503726f575,22467,0.0,700.0
279,17 Jan 2020,17 Jan 2020,CUSTOMER DEPOSIT,dc8c04ed312a6b6151ee02c18ed690f2,1111111,0.0,1454.0
280,16 Jan 2020,16 Jan 2020,C/A ATM/TB TRANSFER CR,bfa7ba22497b63a3d5c21f3c3bc37a30,388845,0.0,1600.0
281,13 Jan 2020,13 Jan 2020,CREDIT NOTE,333e3f7310765b7606cdbe314519adb5,11320,0.0,250.0
282,13 Jan 2020,13 Jan 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,68603,0.0,65.0
283,10 Jan 2020,10 Jan 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,851642,830.0,0.0
284,10 Jan 2020,10 Jan 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,851146,700.0,0.0
285,10 Jan 2020,10 Jan 2020,C/A ATM/TB TRANSFER CR,0a2cdb1aabd2d6a46ab03e2085ce0cb2,843311,0.0,195.0
286,10 Jan 2020,10 Jan 2020,CREDIT NOTE,41f9091c69132fc443cd6a6f4152beaf,100120,0.0,200.0
287,9 Jan 2020,9 Jan 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,781331,1000.0,0.0
288,7 Jan 2020,7 Jan 2020,CREDIT NOTE,b377281b095db1cf1ffce54a0d0a31da,70120,0.0,250.0
289,7 Jan 2020,7 Jan 2020,CUSTOMER DEPOSIT,175c4da1203f6da15fa6ad6138b9c675,1111111,0.0,2290.0
290,6 Jan 2020,6 Jan 2020,CUSTOMER DEPOSIT,175c4da1203f6da15fa6ad6138b9c675,1111111,0.0,2290.0
291,3 Jan 2020,3 Jan 2020,DEBIT NOTE,1e2e3f8d92ea3d18bc2cb897ab91d5b2, ,26.54,0.0
292,3 Jan 2020,3 Jan 2020,DEBIT NOTE,6e88b30a62d64b04e0bc3eefd5d67799, ,10.06,0.0
293,3 Jan 2020,3 Jan 2020,DEBIT NOTE,3c824fe8c930661f36fc79e2f64df652,2347,200.0,0.0
294,3 Jan 2020,3 Jan 2020,C/A ATM/TB TRANSFER CR,f4345ae5f5fe87be45a34b927428bb9e,189878,0.0,565.0
295,2 Jan 2020,2 Jan 2020,DEBIT NOTE,ee2d240b144db88625e1840113deaff1,10220,286.8,0.0
296,2 Jan 2020,2 Jan 2020,DEBIT NOTE,ee2d240b144db88625e1840113deaff1,10220,286.8,0.0
